"2015-08"	159744029578.03113
"2015-11"	53607614201.796776
"2016-01"	56596270931.31685
"2016-03"	32797039087.356667
"2016-05"	23746277028.263245
"2016-07"	22629542449.24175
"2016-09"	25270403393.626083
"2016-10"	32112869584.914665
"2016-12"	50318068074.68128
"2017-02"	23047230327.254303
"2017-04"	22355124545.395317
"2017-06"	30199442465.128727
"2017-08"	25905774673.990257
"2017-11"	15312465314.693544
"2018-01"	52106060636.84502
"2018-03"	15549765961.743273
"2018-05"	17422505108.986416
"2018-07"	27506077453.154327
"2018-09"	15213870989.523378
"2018-10"	14526936383.350008
"2018-12"	16338844844.014668
"2019-02"	28940599438.14876
"2019-04"	11569797163.994152
"2019-06"	15076119023.332266
"2015-09"	56511301521.033226
"2015-10"	53901692120.53661
"2015-12"	55899526672.35486
"2016-02"	69180681134.38849
"2016-04"	23361180502.721268
"2016-06"	23021251389.812134
"2016-08"	22396836435.95849
"2016-11"	24634294365.279953
"2017-01"	22507570807.719795
"2017-03"	23232253600.81683
"2017-05"	23572314972.01526
"2017-07"	25460300456.232986
"2017-09"	30675106219.637596
"2017-10"	17506742628.97231
"2017-12"	33423472930.410748
"2018-02"	23636574203.828976
"2018-04"	13153739247.92998
"2018-06"	16533308366.813036
"2018-08"	18483235826.894573
"2018-11"	16034859008.681648
"2019-01"	14611816445.785303
"2019-03"	18083035519.522877
"2019-05"	14479858767.711182
