"1946708"	["0xe94b04a0fed112f3664e45adb2b8915693dd5ff3", 3001, 575668]
"1966054"	["0xfa52274dd61e1643d2205169732f29114bc240b3", 1708, 375125]
"1969372"	["0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8", 4783, 1101578]
"2462919"	["0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef", 2310, 464781]
"1428757"	["0xbb9bc244d798123fde783fcc1c72d3bb8c189413", 13824, 3711215]
"1919996"	["0x341e790174e3a4d35b65fdc067b6b5634a61caea", 3999, 734742]
"1920419"	["0xaa1a6e3e6ef20068f7f8d8c835d2d22fd5116444", 3475, 731981]
"1935363"	["0xbfc39b6f805a9e40e77291aff27aee3c96915bdd", 1474, 228056]
"2041128"	["0x7727e5113d1d161373623e5f49fd568b4f543a9e", 1015, 139259]
"2206259"	["0xabbb6bebfa05aa13e908eaa492bd7a8343760477", 6435, 1353738]
